image_path,season,pond
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.2a90c08cc055c9dec247650a33b8d67e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0202_jpg.rf.05707d2d54ce55f3c1d943c063d2d3eb.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0203_jpg.rf.78bea453516a015710eaa82ccc3a54c2.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0203_jpg.rf.9544a3d1cb4dff4e1171cc8d130b67ef.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0203_jpg.rf.d3e22227841f0ea8f470b788ccc6d7ea.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0204_jpg.rf.ac8ec5492aaafe296198564e2560eae7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0204_jpg.rf.f2842c6f9aede336513a094092984662.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0207_jpg.rf.5dbbf09c490dbe1b3e2b3b4a13b53f97.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0207_jpg.rf.9f736959658cadaef52d95e16435fbec.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0207_jpg.rf.c0075c9f80086f1e13480e56e823c192.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0208_jpg.rf.ebbf4f258a7373052afc90b069856681.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0209_jpg.rf.12a599b04ae7bc28cfb14d78be864ea7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0209_jpg.rf.8c6f54fd8be58b60d9a6a676587cafbf.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0216_jpg.rf.ff97c32aad6a49aeb3da458d7e0d0698.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0217_jpg.rf.368f015f501164054a4d9ab7714e14fe.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0218_jpg.rf.ed042a0f0a6bf65f2bc8c0733add61b4.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0219_jpg.rf.a891000f6f3c089e02b78e3c9243c022.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0236_jpg.rf.4ea2dc97049ea00d67c2e48736249a64.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0236_jpg.rf.927b70839cd8148961b8baa89ec576c1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0236_jpg.rf.ea06d8a6bb49dfd74c5b128ad429656a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0237_jpg.rf.69bb495fb6acd49f14018854256d022b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0240_jpg.rf.16f9723f81df2760ba2a16ceb956d37b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0240_jpg.rf.3fd8fe09c65254399775a2f4e1855fb8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0242_jpg.rf.099af0609506b84cfe8ceb0ce03e5fea.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0242_jpg.rf.b4adee5c9be57bda728e778236ac67bd.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0245_jpg.rf.674a237027b585aa3428715300e47230.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0247_jpg.rf.3a3b932b5f4547b5d41018f8c8fb028b.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0248_jpg.rf.f6685b50eb0df6f52f8b257421df77b8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0249_jpg.rf.150cdca07582ddab2b456f7abc51288a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0252_jpg.rf.50f8975204bae33287dee86660c9633e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0255_jpg.rf.bcb6b956a37b320736bfefbd4f123eb3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0256_jpg.rf.a8e93964139ff798895f65dae234696c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0257_jpg.rf.807ed4e24728f0d1b080153c9b6e52e4.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0257_jpg.rf.eb06aa824ce215d2875cc4c36de4a219.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0265_jpg.rf.b8acd3f7f45211d8cb0e8f43b71a0255.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0266_jpg.rf.723b871b18890719dd376095fd59f962.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0267_jpg.rf.5272cd81940dde95f184a96e188516da.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0267_jpg.rf.7167bfe5c8551f18b592897b9d2f8a50.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010665_MP4-0273_jpg.rf.ded6cce5d639e0ce764c33a90577586d.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0005_jpg.rf.9219df7b4228f1797f443045d37f4cf7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0005_jpg.rf.df2bf4e8c9d679466ad9874bc2c7643e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0005_jpg.rf.f632922abcd5f0ef2996ee23caa8f24a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0007_jpg.rf.381d56218cdaf4f822b881b6c23972b3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0008_jpg.rf.f9511d50029dabb89e781d0ce0ab12c9.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0011_jpg.rf.e1d113346cb96861515aa304cf11c08d.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0015_jpg.rf.d0d4e797f2e4ee7a7c8fe4362d0291ed.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0016_jpg.rf.a5b02752ca657dbc572f7fb65d1f9b5a.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0016_jpg.rf.e0760cbbbedb6fead0abd236928de608.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0017_jpg.rf.87de5837b9e20c97c615b39c19d43986.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0017_jpg.rf.bf2fb0fdbc22a5705e69271937105032.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0018_jpg.rf.0445994d5fdb65e26e2392ef2e526ee1.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0019_jpg.rf.e1d6fe71155e0a81e0c8c75b6232c496.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0020_jpg.rf.92fc71f3e1a2f1cf9d20004d011a30c7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0021_jpg.rf.30c1cd81b0c1c1b7d3c98202b1169668.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0021_jpg.rf.7d86bc9cc881df8baa9d38e347c23c3e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0022_jpg.rf.4869d5171fbdbf82ae118102762eebda.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.078cd5f2f16450898f9dc5405a76ab9f.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.c4503222feffe11366cec7c3faf0e871.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0024_jpg.rf.52272b5299eb6e1b7ce44e804e281be7.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0042_jpg.rf.30daa36d47f0e181f5ec0fa1bf476824.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0042_jpg.rf.47b0b83b054a4d885897ed996760c78c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0044_jpg.rf.1a93f2c527186d9c59590da3ee0dc76e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0044_jpg.rf.5c584fd873e5d7ef0c64e1c1171e2e64.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0045_jpg.rf.9dd6103a217a7bb8d9f04d3881890a9e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0046_jpg.rf.af2b7403e1dc54d0c21fa82bb4216860.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0046_jpg.rf.f56f813620d9c47e89973f06acb9ffb3.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0055_jpg.rf.d88b3710a45a71237583c75fa19f598e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0057_jpg.rf.7982ec145fc5313466a6c186be97264e.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0062_jpg.rf.f27a50efde63a79aa43636b80ba71a2c.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0083_jpg.rf.1138a40269e7bbc40c983917a1390fe8.jpg,2025,mixed
datasets/train_on_2025_all\images\GX010666_MP4-0084_jpg.rf.74294207b8862362e4d6f67afe9e3349.jpg,2025,mixed
