image_path,season,selection_order,distance_at_selection
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0242_jpg.rf.fcec15f1c899b21cf8d01d84f7fc36ad.jpg,2025,19,2.5442051236662246
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010667_MP4-0037_jpg.rf.f4e733b64f963b806dca020f5ff20ffe.jpg,2025,20,2.4845822967890245
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0099_jpg.rf.222dbad1672907a88e814844be3ee105.jpg,2025,21,2.434597657697534
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00047_jpg.rf.51bd6fcfac209707abb864dfa1e1c203.jpg,2025,22,2.420638821199968
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0219_jpg.rf.a891000f6f3c089e02b78e3c9243c022.jpg,2025,23,2.3576356776521545
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\frame_00115_jpg.rf.b924b162ac6747db94ad9a609d63fe9f.jpg,2025,24,2.3530392678006695
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00083_jpg.rf.fd9106caad80a1970676db79de8abb5f.jpg,2025,25,2.303750389306534
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0055_jpg.rf.6887713607d21251e80fc7815f9b5c63.jpg,2025,26,2.2669869943987178
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00005_jpg.rf.39862fc3570999bcc7bcbb9d51c4f1fb.jpg,2025,27,2.2447196659825144
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00214_jpg.rf.0cd658c06ea8ae50e933930534e1c29a.jpg,2025,28,2.2135140105578435
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0200_jpg.rf.af995ff50b479a883f01ed8bd1ba1d6f.jpg,2025,29,2.204671004531653
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\frame_00078_jpg.rf.2a5d42ad2885cd3409f92077b46bb640.jpg,2025,30,2.1925297338191947
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00028_jpg.rf.a9c8982d759de51215ab42a52bfd77ac.jpg,2025,31,2.17735095214135
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0218_jpg.rf.f262a0785606543791b62b1ce9c0fa40.jpg,2025,32,2.1657081085333902
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0023_jpg.rf.225f6777f4ce184f96f12aa2c17ca51f.jpg,2025,33,2.100655306413699
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00020_jpg.rf.caafb26e8a57990923665e1de57b27b7.jpg,2025,34,2.0920501910100087
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0131_jpg.rf.6291ba1b5d270531bbcc5d8de8f0ad57.jpg,2025,35,2.088291115744532
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00092_jpg.rf.5a2ce7fd47018b934894efac416a8425.jpg,2025,36,2.0650535625069133
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00090_jpg.rf.f4ac0c83dc8e91c0e68d97029549cd0d.jpg,2025,37,2.0623046825013
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0006_jpg.rf.7b6ead4d7774b0916f05b69b5e8c84c9.jpg,2025,38,2.0588355369786866
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0114_jpg.rf.0e7fa190360d96f39784b4149d3c547a.jpg,2025,39,2.039502337373876
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00156_jpg.rf.fe3e3c7adb29b1d9031f8997b5050430.jpg,2025,40,2.0201185237577377
